Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSEEEG00000000093	ENSEEEP00000000127	JUND	ENSPKIG00000006193	ENSPKIP00000022024	JUND
ENSEEEG00000000094	ENSEEEP00000000130	zgc:172341	ENSPKIG00000017565	ENSPKIP00000040711	ddo
ENSEEEG00000000095	ENSEEEP00000000133	HMGN3	ENSPKIG00000024106	ENSPKIP00000008735	HMGN3
ENSEEEG00000000097	ENSEEEP00000000135	GPR171	ENSPKIG00000014733	ENSPKIP00000035988	GPR171
ENSEEEG00000000101	ENSEEEP00000000138	HSPB1	ENSPKIG00000017205	ENSPKIP00000040112	hspb1
ENSEEEG00000000102	ENSEEEP00000000140	si:dkey-275b16.2	ENSPKIG00000017191	ENSPKIP00000040097	paox
ENSEEEG00000000104	ENSEEEP00000000141	NAA80	ENSPKIG00000001618	ENSPKIP00000014579	NAA80
ENSEEEG00000000105	ENSEEEP00000000142	si:dkey-276j7.1	ENSPKIG00000012273	ENSPKIP00000032014	
ENSEEEG00000000109	ENSEEEP00000000144	zgc:152863	ENSPKIG00000007246	ENSPKIP00000023739	zgc:152863
ENSEEEG00000000112	ENSEEEP00000000151	LCA5	ENSPKIG00000024115	ENSPKIP00000008756	LCA5
ENSEEEG00000000116	ENSEEEP00000000153	SMCO4	ENSPKIG00000022063	ENSPKIP00000005358	SMCO4
ENSEEEG00000000119	ENSEEEP00000000156		ENSPKIG00000013115	ENSPKIP00000033380	
ENSEEEG00000000122	ENSEEEP00000000158	BCL10	ENSPKIG00000002727	ENSPKIP00000016380	
ENSEEEG00000000121	ENSEEEP00000000159	cthrc1a	ENSPKIG00000017436	ENSPKIP00000040484	cthrc1b
ENSEEEG00000000117	ENSEEEP00000000162	GPR142	ENSPKIG00000010784	ENSPKIP00000029592	GPR142
ENSEEEG00000000108	ENSEEEP00000000165	DHX30	ENSPKIG00000000741	ENSPKIP00000013230	DHX30
ENSEEEG00000000126	ENSEEEP00000000167		ENSPKIG00000018762	ENSPKIP00000011819	
ENSEEEG00000000127	ENSEEEP00000000168	GJD4	ENSPKIG00000011615	ENSPKIP00000030927	GJD4
ENSEEEG00000000131	ENSEEEP00000000172	ZCCHC24	ENSPKIG00000008523	ENSPKIP00000025773	ZCCHC24
ENSEEEG00000000135	ENSEEEP00000000177	GPRC5C	ENSPKIG00000010810	ENSPKIP00000029641	GPRC5C
ENSEEEG00000000136	ENSEEEP00000000179	zgc:165508	ENSPKIG00000011576	ENSPKIP00000030917	
ENSEEEG00000000099	ENSEEEP00000000183	ctss2.1	ENSPKIG00000010782	ENSPKIP00000029591	CTSS
ENSEEEG00000000144	ENSEEEP00000000190	MDM1	ENSPKIG00000022365	ENSPKIP00000005848	mdm1
ENSEEEG00000000166	ENSEEEP00000000200	NDUFS4	ENSPKIG00000003139	ENSPKIP00000017084	ndufs4
ENSEEEG00000000162	ENSEEEP00000000208	HSPB7	ENSPKIG00000013653	ENSPKIP00000034242	
ENSEEEG00000000158	ENSEEEP00000000212	CTSK	ENSPKIG00000021458	ENSPKIP00000004340	CTSK
ENSEEEG00000000164	ENSEEEP00000000217	wrnip1	ENSPKIG00000000778	ENSPKIP00000013316	wrnip1
ENSEEEG00000000160	ENSEEEP00000000225	MDC1	ENSPKIG00000001837	ENSPKIP00000014968	
ENSEEEG00000000140	ENSEEEP00000000250	POLE2	ENSPKIG00000023629	ENSPKIP00000007932	pole2
ENSEEEG00000000192	ENSEEEP00000000253	ssx2ipa	ENSPKIG00000002857	ENSPKIP00000016600	ssx2ipb
ENSEEEG00000000155	ENSEEEP00000000254	loxl5b	ENSPKIG00000000573	ENSPKIP00000012983	loxl5b
ENSEEEG00000000172	ENSEEEP00000000256	PPIL3	ENSPKIG00000019031	ENSPKIP00000000314	PPIL3
ENSEEEG00000000030	ENSEEEP00000000257	snx8a	ENSPKIG00000010257	ENSPKIP00000028752	snx8a
ENSEEEG00000000194	ENSEEEP00000000260	SYT12	ENSPKIG00000012263	ENSPKIP00000031998	syt12
ENSEEEG00000000163	ENSEEEP00000000263	hif1al	ENSPKIG00000007313	ENSPKIP00000023908	hif1al
ENSEEEG00000000199	ENSEEEP00000000270		ENSPKIG00000023926	ENSPKIP00000008429	
ENSEEEG00000000171	ENSEEEP00000000278	zmp:0000001329	ENSPKIG00000009640	ENSPKIP00000027698	zmp:0000001329
ENSEEEG00000000214	ENSEEEP00000000289	UQCRFS1	ENSPKIG00000011020	ENSPKIP00000029982	uqcrfs1
ENSEEEG00000000150	ENSEEEP00000000296	ZRANB3	ENSPKIG00000011277	ENSPKIP00000030475	ZRANB3
ENSEEEG00000000218	ENSEEEP00000000300	WDR55	ENSPKIG00000020607	ENSPKIP00000002902	wdr55
ENSEEEG00000000221	ENSEEEP00000000301	VSTM2B	ENSPKIG00000004488	ENSPKIP00000019244	vstm2b
ENSEEEG00000000226	ENSEEEP00000000303	ZBTB26	ENSPKIG00000014483	ENSPKIP00000035573	zbtb26
ENSEEEG00000000224	ENSEEEP00000000304	KATNBL1	ENSPKIG00000023376	ENSPKIP00000007509	
ENSEEEG00000000235	ENSEEEP00000000320	MIS18BP1	ENSPKIG00000023343	ENSPKIP00000007469	
ENSEEEG00000000240	ENSEEEP00000000326	MCAT	ENSPKIG00000006538	ENSPKIP00000022589	mcat
ENSEEEG00000000239	ENSEEEP00000000331	HSD17B1	ENSPKIG00000019603	ENSPKIP00000001258	hsd17b1
ENSEEEG00000000248	ENSEEEP00000000341	si:ch73-141c7.1	ENSPKIG00000019576	ENSPKIP00000001183	si:ch73-141c7.1
ENSEEEG00000000246	ENSEEEP00000000342		ENSPKIG00000016539	ENSPKIP00000038984	
ENSEEEG00000000249	ENSEEEP00000000344	TMEM200C	ENSPKIG00000004470	ENSPKIP00000019216	TMEM200C
ENSEEEG00000000250	ENSEEEP00000000345		ENSPKIG00000007489	ENSPKIP00000024107	
ENSEEEG00000000247	ENSEEEP00000000346	NUDT1	ENSPKIG00000010301	ENSPKIP00000028810	nudt1
ENSEEEG00000000254	ENSEEEP00000000352		ENSPKIG00000004284	ENSPKIP00000018895	
ENSEEEG00000000259	ENSEEEP00000000361	naa15b	ENSPKIG00000022081	ENSPKIP00000005392	
ENSEEEG00000000264	ENSEEEP00000000364	mrm2	ENSPKIG00000010326	ENSPKIP00000028837	MRM2
ENSEEEG00000000271	ENSEEEP00000000365	card19	ENSPKIG00000012559	ENSPKIP00000032476	
ENSEEEG00000000268	ENSEEEP00000000368	stx2b	ENSPKIG00000022731	ENSPKIP00000006479	STX2
ENSEEEG00000000261	ENSEEEP00000000369	LRRC28	ENSPKIG00000013445	ENSPKIP00000033947	LRRC28
ENSEEEG00000000263	ENSEEEP00000000378	USP40	ENSPKIG00000009015	ENSPKIP00000026663	usp40
ENSEEEG00000000270	ENSEEEP00000000380	cplx4c	ENSPKIG00000000506	ENSPKIP00000012864	cplx4c
ENSEEEG00000000293	ENSEEEP00000000400	otx5	ENSPKIG00000000094	ENSPKIP00000012221	
ENSEEEG00000000302	ENSEEEP00000000402	LRATD1	ENSPKIG00000012666	ENSPKIP00000032656	lratd1
ENSEEEG00000000265	ENSEEEP00000000408	CHM	ENSPKIG00000015918	ENSPKIP00000037910	chm
ENSEEEG00000000305	ENSEEEP00000000409	STK19	ENSPKIG00000015444	ENSPKIP00000037140	stk19
ENSEEEG00000000309	ENSEEEP00000000416	zgc:110333	ENSPKIG00000003223	ENSPKIP00000017204	cldn8.2
ENSEEEG00000000311	ENSEEEP00000000424	ARHGAP28	ENSPKIG00000013524	ENSPKIP00000034036	ARHGAP28
ENSEEEG00000000316	ENSEEEP00000000425	mon1bb	ENSPKIG00000015856	ENSPKIP00000037819	MON1B
ENSEEEG00000000318	ENSEEEP00000000434	PITPNB	ENSPKIG00000023344	ENSPKIP00000007474	pitpnb
ENSEEEG00000000319	ENSEEEP00000000435	ADGRD1	ENSPKIG00000022859	ENSPKIP00000006798	ADGRD1
ENSEEEG00000000315	ENSEEEP00000000467	psma6l	ENSPKIG00000000186	ENSPKIP00000012376	psma6l
ENSEEEG00000000342	ENSEEEP00000000478	C5orf22	ENSPKIG00000015632	ENSPKIP00000037451	zgc:56556
ENSEEEG00000000374	ENSEEEP00000000505	KCTD11	ENSPKIG00000022337	ENSPKIP00000005805	KCTD11
ENSEEEG00000000380	ENSEEEP00000000527	ptpn18	ENSPKIG00000015834	ENSPKIP00000037784	ptpn18
ENSEEEG00000000275	ENSEEEP00000000528	QARS1	ENSPKIG00000022198	ENSPKIP00000005577	qars1
ENSEEEG00000000394	ENSEEEP00000000532	SUPT4H1	ENSPKIG00000017008	ENSPKIP00000039783	supt4h1
ENSEEEG00000000333	ENSEEEP00000000536	CAT	ENSPKIG00000012209	ENSPKIP00000031924	cat
ENSEEEG00000000404	ENSEEEP00000000544		ENSPKIG00000016994	ENSPKIP00000039756	
ENSEEEG00000000398	ENSEEEP00000000553	USP16	ENSPKIG00000003094	ENSPKIP00000016997	usp16
ENSEEEG00000000410	ENSEEEP00000000562	MAFK	ENSPKIG00000012243	ENSPKIP00000031947	mafk
ENSEEEG00000000396	ENSEEEP00000000569	EFHD1	ENSPKIG00000009171	ENSPKIP00000026871	efhd1
ENSEEEG00000000391	ENSEEEP00000000583	NOP14	ENSPKIG00000009879	ENSPKIP00000028087	nop14
ENSEEEG00000000415	ENSEEEP00000000586	GRIPAP1	ENSPKIG00000015897	ENSPKIP00000037883	gripap1
ENSEEEG00000000426	ENSEEEP00000000592	KCNJ13	ENSPKIG00000009260	ENSPKIP00000027016	kcnj13
ENSEEEG00000000388	ENSEEEP00000000599	comtb	ENSPKIG00000023566	ENSPKIP00000007809	comta
ENSEEEG00000000390	ENSEEEP00000000608	PIGB	ENSPKIG00000021745	ENSPKIP00000004807	pigb
ENSEEEG00000000432	ENSEEEP00000000611	OGG1	ENSPKIG00000011480	ENSPKIP00000030723	ogg1
ENSEEEG00000000433	ENSEEEP00000000621	GAL3ST2	ENSPKIG00000009144	ENSPKIP00000026824	GAL3ST2
ENSEEEG00000000445	ENSEEEP00000000627	si:ch211-235m3.5	ENSPKIG00000006238	ENSPKIP00000022091	si:ch211-235m3.5
ENSEEEG00000000447	ENSEEEP00000000630	slc19a3a	ENSPKIG00000016647	ENSPKIP00000039192	SLC19A3
ENSEEEG00000000448	ENSEEEP00000000631	GPR45	ENSPKIG00000011893	ENSPKIP00000031384	GPR45
ENSEEEG00000000449	ENSEEEP00000000632	CCPG1	ENSPKIG00000021777	ENSPKIP00000004842	
ENSEEEG00000000453	ENSEEEP00000000637	C2orf49	ENSPKIG00000010523	ENSPKIP00000029165	si:dkeyp-118h3.6
ENSEEEG00000000456	ENSEEEP00000000643	C15orf65	ENSPKIG00000021823	ENSPKIP00000004922	
ENSEEEG00000000294	ENSEEEP00000000645	rps24	ENSPKIG00000008331	ENSPKIP00000025467	rps24
ENSEEEG00000000463	ENSEEEP00000000654	DNAAF4	ENSPKIG00000021803	ENSPKIP00000004897	dnaaf4
ENSEEEG00000000466	ENSEEEP00000000658	nol12	ENSPKIG00000007375	ENSPKIP00000023917	nol12
ENSEEEG00000000470	ENSEEEP00000000663	IFITM5	ENSPKIG00000021488	ENSPKIP00000004328	ifitm5
ENSEEEG00000000461	ENSEEEP00000000672	si:dkey-8e10.3	ENSPKIG00000016076	ENSPKIP00000038199	si:dkey-8e10.3
ENSEEEG00000000478	ENSEEEP00000000686		ENSPKIG00000021495	ENSPKIP00000004353	
ENSEEEG00000000471	ENSEEEP00000000692	FHL2	ENSPKIG00000011824	ENSPKIP00000031279	fhl2a
ENSEEEG00000000487	ENSEEEP00000000693	cdkn1cb	ENSPKIG00000021556	ENSPKIP00000004450	cdkn1ca
ENSEEEG00000000474	ENSEEEP00000000695	ttr	ENSPKIG00000003564	ENSPKIP00000017776	ttr
ENSEEEG00000000345	ENSEEEP00000000699	mmp20a	ENSPKIG00000012694	ENSPKIP00000032762	mmp20a
ENSEEEG00000000483	ENSEEEP00000000702	ICE2	ENSPKIG00000001276	ENSPKIP00000014093	ICE2
ENSEEEG00000000495	ENSEEEP00000000708	si:ch1073-322p19.1	ENSPKIG00000007702	ENSPKIP00000024440	
ENSEEEG00000000497	ENSEEEP00000000721	rnd3a	ENSPKIG00000011603	ENSPKIP00000030911	RND3
ENSEEEG00000000503	ENSEEEP00000000729		ENSPKIG00000010509	ENSPKIP00000029145	otos2
ENSEEEG00000000505	ENSEEEP00000000732	RNF182	ENSPKIG00000008094	ENSPKIP00000025100	rnf182
ENSEEEG00000000507	ENSEEEP00000000736	SULT1C4	ENSPKIG00000011530	ENSPKIP00000030816	
ENSEEEG00000000509	ENSEEEP00000000738	vimr1	ENSPKIG00000009921	ENSPKIP00000028172	vimr1
ENSEEEG00000000350	ENSEEEP00000000746	LGMN	ENSPKIG00000014058	ENSPKIP00000035194	lgmn
ENSEEEG00000000479	ENSEEEP00000000770	INTS1	ENSPKIG00000023307	ENSPKIP00000007479	INTS1
ENSEEEG00000000528	ENSEEEP00000000773	zgc:103586	ENSPKIG00000006828	ENSPKIP00000023043	zgc:103586
ENSEEEG00000000468	ENSEEEP00000000785	FARSB	ENSPKIG00000006661	ENSPKIP00000022826	farsb
ENSEEEG00000000538	ENSEEEP00000000790		ENSPKIG00000001842	ENSPKIP00000014971	
ENSEEEG00000000541	ENSEEEP00000000793	si:dkey-19b23.7	ENSPKIG00000006106	ENSPKIP00000021881	si:dkey-19b23.7
ENSEEEG00000000542	ENSEEEP00000000794	SGPP2	ENSPKIG00000010148	ENSPKIP00000028527	SGPP2
ENSEEEG00000000546	ENSEEEP00000000796	tnfsf12	ENSPKIG00000006202	ENSPKIP00000022036	tnfsf12
ENSEEEG00000000543	ENSEEEP00000000799	COX10	ENSPKIG00000012098	ENSPKIP00000031721	cox10
ENSEEEG00000000548	ENSEEEP00000000804	RNF228	ENSPKIG00000010136	ENSPKIP00000028504	RNF228
ENSEEEG00000000554	ENSEEEP00000000820	TTC9	ENSPKIG00000002393	ENSPKIP00000015823	si:ch211-259k16.3
ENSEEEG00000000563	ENSEEEP00000000832	si:dkey-43p13.5	ENSPKIG00000012350	ENSPKIP00000032139	
ENSEEEG00000000523	ENSEEEP00000000838	RETREG1	ENSPKIG00000008029	ENSPKIP00000025034	retreg1
ENSEEEG00000000571	ENSEEEP00000000842	Olfr68	ENSPKIG00000012097	ENSPKIP00000031715	
ENSEEEG00000000544	ENSEEEP00000000844	SNCA	ENSPKIG00000006276	ENSPKIP00000022156	SNCA
ENSEEEG00000000290	ENSEEEP00000000845	amt	ENSPKIG00000001643	ENSPKIP00000014660	amt
ENSEEEG00000000524	ENSEEEP00000000859	PTDSS2	ENSPKIG00000021568	ENSPKIP00000004500	ptdss2
ENSEEEG00000000588	ENSEEEP00000000862	ZFAND2A	ENSPKIG00000023226	ENSPKIP00000007260	zfand2a
ENSEEEG00000000606	ENSEEEP00000000904	LRRCC1	ENSPKIG00000015894	ENSPKIP00000037870	LRRCC1
ENSEEEG00000000615	ENSEEEP00000000906	GMFG	ENSPKIG00000021738	ENSPKIP00000004774	GMFG
ENSEEEG00000000623	ENSEEEP00000000925	tex261	ENSPKIG00000013695	ENSPKIP00000034315	tex261
ENSEEEG00000000630	ENSEEEP00000000930	ompa	ENSPKIG00000023839	ENSPKIP00000008273	ompa
ENSEEEG00000000629	ENSEEEP00000000933	SHTN1	ENSPKIG00000013671	ENSPKIP00000034271	
ENSEEEG00000000628	ENSEEEP00000000937		ENSPKIG00000002199	ENSPKIP00000015506	cox16
ENSEEEG00000000638	ENSEEEP00000000938	VAX2	ENSPKIG00000013650	ENSPKIP00000034237	vax2
ENSEEEG00000000625	ENSEEEP00000000941	PAF1	ENSPKIG00000021679	ENSPKIP00000004695	paf1
ENSEEEG00000000639	ENSEEEP00000000943	THEM6	ENSPKIG00000002358	ENSPKIP00000015753	them6
ENSEEEG00000000643	ENSEEEP00000000947	socs9	ENSPKIG00000021804	ENSPKIP00000004895	socs9
ENSEEEG00000000645	ENSEEEP00000000952	PRRG4	ENSPKIG00000023558	ENSPKIP00000007796	prrg4
ENSEEEG00000000649	ENSEEEP00000000956	ASRGL1	ENSPKIG00000002669	ENSPKIP00000016301	asrgl1
ENSEEEG00000000564	ENSEEEP00000000957	mmp20b	ENSPKIG00000012852	ENSPKIP00000033026	mmp20b
ENSEEEG00000000635	ENSEEEP00000000959	zgc:92162	ENSPKIG00000022770	ENSPKIP00000006516	pla2g10
ENSEEEG00000000661	ENSEEEP00000000972	SMIM10	ENSPKIG00000015488	ENSPKIP00000037209	
ENSEEEG00000000672	ENSEEEP00000000987	si:dkey-54n8.2	ENSPKIG00000014069	ENSPKIP00000034920	tp53i13
ENSEEEG00000000659	ENSEEEP00000000988	OGFRL1	ENSPKIG00000002645	ENSPKIP00000016241	OGFRL1
ENSEEEG00000000673	ENSEEEP00000000990	B3GAT2	ENSPKIG00000002632	ENSPKIP00000016203	b3gat2
ENSEEEG00000000670	ENSEEEP00000000993	mycbp	ENSPKIG00000000699	ENSPKIP00000013178	MYCBP
ENSEEEG00000000668	ENSEEEP00000000996	EIF3M	ENSPKIG00000023537	ENSPKIP00000007765	EIF3M
ENSEEEG00000000685	ENSEEEP00000001008	TSR1	ENSPKIG00000013972	ENSPKIP00000034791	tsr1
ENSEEEG00000000686	ENSEEEP00000001010	TLX1	ENSPKIG00000002563	ENSPKIP00000016073	TLX1
ENSEEEG00000000589	ENSEEEP00000001013	TRAPPC8	ENSPKIG00000007667	ENSPKIP00000024480	TRAPPC8
ENSEEEG00000000691	ENSEEEP00000001017	lbx1a	ENSPKIG00000001513	ENSPKIP00000014460	lbx1a
ENSEEEG00000000634	ENSEEEP00000001026	PPA1	ENSPKIG00000007633	ENSPKIP00000024336	ppa1a
ENSEEEG00000000550	ENSEEEP00000001028	WDR46	ENSPKIG00000011681	ENSPKIP00000031015	wdr46
ENSEEEG00000000694	ENSEEEP00000001043	DPH1	ENSPKIG00000008137	ENSPKIP00000025164	dph1
ENSEEEG00000000697	ENSEEEP00000001049	B3GALT4	ENSPKIG00000011720	ENSPKIP00000031085	B3GALT4
ENSEEEG00000000710	ENSEEEP00000001056		ENSPKIG00000003701	ENSPKIP00000017985	
ENSEEEG00000000712	ENSEEEP00000001066	TYSND1	ENSPKIG00000018909	ENSPKIP00000000111	tysnd1
ENSEEEG00000000711	ENSEEEP00000001067	ZMPSTE24	ENSPKIG00000000685	ENSPKIP00000013141	zmpste24
ENSEEEG00000010032	ENSEEEP00000001075	TCEA1	ENSPKIG00000010819	ENSPKIP00000029653	tcea1
ENSEEEG00000000718	ENSEEEP00000001082	rpl13a	ENSPKIG00000000720	ENSPKIP00000013197	rpl13a
ENSEEEG00000000707	ENSEEEP00000001091	TBCK	ENSPKIG00000012287	ENSPKIP00000032098	tbck
ENSEEEG00000000722	ENSEEEP00000001098	BMP3	ENSPKIG00000015421	ENSPKIP00000037102	bmp3
ENSEEEG00000000733	ENSEEEP00000001099	UBFD1	ENSPKIG00000001405	ENSPKIP00000014282	ubfd1
ENSEEEG00000000738	ENSEEEP00000001101	TM4SF5	ENSPKIG00000010872	ENSPKIP00000029750	tm4sf5
ENSEEEG00000000743	ENSEEEP00000001106	CFAP299	ENSPKIG00000019826	ENSPKIP00000001592	cfap299
ENSEEEG00000000745	ENSEEEP00000001110	foxb1a	ENSPKIG00000008092	ENSPKIP00000025104	FOXB1
ENSEEEG00000000744	ENSEEEP00000001113	METTL3	ENSPKIG00000012961	ENSPKIP00000033161	mettl3
ENSEEEG00000000748	ENSEEEP00000001116	FGF5	ENSPKIG00000019047	ENSPKIP00000000342	fgf5
ENSEEEG00000000752	ENSEEEP00000001123	BNIP2	ENSPKIG00000008039	ENSPKIP00000025023	bnip2
ENSEEEG00000000750	ENSEEEP00000001124	sst5	ENSPKIG00000007342	ENSPKIP00000023891	
ENSEEEG00000000736	ENSEEEP00000001129	fgf8a	ENSPKIG00000002430	ENSPKIP00000015885	fgf8a
ENSEEEG00000000758	ENSEEEP00000001130	aimp1a	ENSPKIG00000012660	ENSPKIP00000032651	aimp1a
ENSEEEG00000000757	ENSEEEP00000001131	TRIP6	ENSPKIG00000007321	ENSPKIP00000023846	
ENSEEEG00000000749	ENSEEEP00000001133		ENSPKIG00000001424	ENSPKIP00000014319	
ENSEEEG00000000755	ENSEEEP00000001136	dnajb12a	ENSPKIG00000007501	ENSPKIP00000024143	dnajb12b
ENSEEEG00000000763	ENSEEEP00000001141	BCL6B	ENSPKIG00000004089	ENSPKIP00000018561	BCL6B
ENSEEEG00000000766	ENSEEEP00000001143	TRMT2B	ENSPKIG00000017232	ENSPKIP00000040144	trmt2b
ENSEEEG00000000772	ENSEEEP00000001149	SLC16A13	ENSPKIG00000007295	ENSPKIP00000023803	SLC16A13
ENSEEEG00000000773	ENSEEEP00000001154	MRPS25	ENSPKIG00000011826	ENSPKIP00000031274	mrps25
ENSEEEG00000000777	ENSEEEP00000001157	NSMCE1	ENSPKIG00000001520	ENSPKIP00000014481	nsmce1
ENSEEEG00000000780	ENSEEEP00000001159	RBSN	ENSPKIG00000011784	ENSPKIP00000031227	RBSN
ENSEEEG00000000781	ENSEEEP00000001161	KDM8	ENSPKIG00000001559	ENSPKIP00000014525	kdm8
ENSEEEG00000000765	ENSEEEP00000001162	DKK2	ENSPKIG00000012697	ENSPKIP00000032712	
ENSEEEG00000000778	ENSEEEP00000001163	WNT8B	ENSPKIG00000007439	ENSPKIP00000024028	wnt8b
ENSEEEG00000000798	ENSEEEP00000001178	KLF13	ENSPKIG00000001074	ENSPKIP00000013760	klf13
ENSEEEG00000000806	ENSEEEP00000001188		ENSPKIG00000005761	ENSPKIP00000021296	
ENSEEEG00000000796	ENSEEEP00000001192	HIF1AN	ENSPKIG00000018875	ENSPKIP00000000068	hif1an
ENSEEEG00000000817	ENSEEEP00000001205	CUEDC2	ENSPKIG00000018810	ENSPKIP00000042052	cuedc2
ENSEEEG00000000655	ENSEEEP00000001209	IFRD2	ENSPKIG00000001683	ENSPKIP00000014728	ifrd2
ENSEEEG00000000834	ENSEEEP00000001228	dffb	ENSPKIG00000012225	ENSPKIP00000031915	dffb
ENSEEEG00000000395	ENSEEEP00000001233	RINT1	ENSPKIG00000006961	ENSPKIP00000023268	rint1
ENSEEEG00000000842	ENSEEEP00000001236	b3gnt7l	ENSPKIG00000012193	ENSPKIP00000031871	b3gnt7l
ENSEEEG00000000848	ENSEEEP00000001243	CEP104	ENSPKIG00000012150	ENSPKIP00000031813	CEP104
ENSEEEG00000000853	ENSEEEP00000001251	LRRC47	ENSPKIG00000012128	ENSPKIP00000031770	lrrc47
ENSEEEG00000000852	ENSEEEP00000001253	BARHL2	ENSPKIG00000003671	ENSPKIP00000017941	BARHL2
ENSEEEG00000000732	ENSEEEP00000001254	KIAA0895L	ENSPKIG00000005210	ENSPKIP00000020421	MATCAP1
ENSEEEG00000000854	ENSEEEP00000001258	SETD7	ENSPKIG00000013022	ENSPKIP00000033244	setd7
ENSEEEG00000000858	ENSEEEP00000001261	zgc:113425	ENSPKIG00000013062	ENSPKIP00000033297	zgc:113425
ENSEEEG00000000859	ENSEEEP00000001265	MAD2L2	ENSPKIG00000014062	ENSPKIP00000034924	mad2l2
ENSEEEG00000000849	ENSEEEP00000001273	RPS27L	ENSPKIG00000007763	ENSPKIP00000024570	rps27l
ENSEEEG00000000862	ENSEEEP00000001276	mlsl	ENSPKIG00000013109	ENSPKIP00000033388	ugl
ENSEEEG00000000869	ENSEEEP00000001279	CEP78	ENSPKIG00000021157	ENSPKIP00000003818	CEP78
