Species1GeneID	Species1ProteinID	Species1GeneName	Species2GeneID	Species2ProteinID	Species2GeneName
ENSDARG00000007708	ENSDARP00000003036	NSA2	ENSEEEG00000006508	ENSEEEP00000059771	NSA2
ENSDARG00000007329	ENSDARP00000003051	tbx16	ENSEEEG00000000873	ENSEEEP00000001297	tbx16
ENSDARG00000019250	ENSDARP00000003084	FANCF	ENSEEEG00000001857	ENSEEEP00000003299	FANCF
ENSDARG00000003965	ENSDARP00000003103	TLX1	ENSEEEG00000000686	ENSEEEP00000001010	TLX1
ENSDARG00000007385	ENSDARP00000003107	CCT7	ENSEEEG00000008955	ENSEEEP00000062823	CCT7
ENSDARG00000002760	ENSDARP00000003126	GDF5	ENSEEEG00000002459	ENSEEEP00000004708	GDF5
ENSDARG00000005015	ENSDARP00000003150	tspy	ENSEEEG00000014106	ENSEEEP00000029459	tspy
ENSDARG00000017860	ENSDARP00000003154	rgs5b	ENSEEEG00000017661	ENSEEEP00000037169	rgs5b
ENSDARG00000004280	ENSDARP00000003173	SEH1L	ENSEEEG00000023666	ENSEEEP00000050342	SEH1L
ENSDARG00000015611	ENSDARP00000003188	RASL11B	ENSEEEG00000026477	ENSEEEP00000052691	RASL11B
ENSDARG00000017675	ENSDARP00000003198	UTP4	ENSEEEG00000014877	ENSEEEP00000031086	UTP4
ENSDARG00000006040	ENSDARP00000003222	CYP20A1	ENSEEEG00000009120	ENSEEEP00000018603	CYP20A1
ENSDARG00000013144	ENSDARP00000003281	ATP1B1	ENSEEEG00000026828	ENSEEEP00000057988	atp1b1a
ENSDARG00000042833	ENSDARP00000003302	RFFL	ENSEEEG00000023482	ENSEEEP00000049948	RFFL
ENSDARG00000002685	ENSDARP00000003320	PCED1B	ENSEEEG00000023360	ENSEEEP00000057484	fam113
ENSDARG00000007186	ENSDARP00000003344	PPP1R8	ENSEEEG00000029022	ENSEEEP00000060175	ppp1r8a
ENSDARG00000007971	ENSDARP00000003357	CKS1B	ENSEEEG00000006634	ENSEEEP00000013242	CKS1B
ENSDARG00000006981	ENSDARP00000003379	cfap263	ENSEEEG00000016544	ENSEEEP00000034790	cfap263
ENSDARG00000001788	ENSDARP00000003389	ATP5PO	ENSEEEG00000023686	ENSEEEP00000050378	atp5po
ENSDARG00000011488	ENSDARP00000003412	SIRT2	ENSEEEG00000015419	ENSEEEP00000033081	SIRT2
ENSDARG00000002897	ENSDARP00000003433	si:ch211-160o17.2	ENSEEEG00000028018	ENSEEEP00000063561	si:ch211-160o17.2
ENSDARG00000113944	ENSDARP00000003450		ENSEEEG00000026450	ENSEEEP00000054089	
ENSDARG00000005948	ENSDARP00000003452	ANKMY2	ENSEEEG00000004004	ENSEEEP00000007658	ankmy2a
ENSDARG00000007531	ENSDARP00000003488	ZCCHC9	ENSEEEG00000003082	ENSEEEP00000005813	ZCCHC9
ENSDARG00000010792	ENSDARP00000003494	cdc25b	ENSEEEG00000000068	ENSEEEP00000000097	CDC25B
ENSDARG00000007885	ENSDARP00000003498	FANCL	ENSEEEG00000016481	ENSEEEP00000034734	FANCL
ENSDARG00000017193	ENSDARP00000003525	CNN1	ENSEEEG00000008276	ENSEEEP00000016718	cnn1b
ENSDARG00000008542	ENSDARP00000003565	YOD1	ENSEEEG00000012711	ENSEEEP00000026283	YOD1
ENSDARG00000020261	ENSDARP00000003571	RAB2A	ENSEEEG00000021325	ENSEEEP00000045178	RAB2A
ENSDARG00000004211	ENSDARP00000003598	ccdc106a	ENSEEEG00000019671	ENSEEEP00000059642	ccdc106a
ENSDARG00000004713	ENSDARP00000003616	MAD2L1	ENSEEEG00000004284	ENSEEEP00000008203	MAD2L1
ENSDARG00000009212	ENSDARP00000003641	ppiaa	ENSEEEG00000011874	ENSEEEP00000024501	ppiaa
ENSDARG00000017359	ENSDARP00000003665	METTL8	ENSEEEG00000018407	ENSEEEP00000038801	METTL8
ENSDARG00000008748	ENSDARP00000003705	ube2na	ENSEEEG00000006953	ENSEEEP00000060592	ube2na
ENSDARG00000007409	ENSDARP00000003709	ppifa	ENSEEEG00000000137	ENSEEEP00000000182	ppifa
ENSDARG00000019503	ENSDARP00000003749	zgc:103759	ENSEEEG00000024755	ENSEEEP00000061144	zgc:103759
ENSDARG00000014292	ENSDARP00000003782	med15	ENSEEEG00000014633	ENSEEEP00000030594	MED15
ENSDARG00000009253	ENSDARP00000003814	RTRAF	ENSEEEG00000027592	ENSEEEP00000052735	RTRAF
ENSDARG00000019791	ENSDARP00000003829	PRMT3	ENSEEEG00000024202	ENSEEEP00000051550	PRMT3
ENSDARG00000025703	ENSDARP00000003841	DMGDH	ENSEEEG00000003103	ENSEEEP00000006503	DMGDH
ENSDARG00000021107	ENSDARP00000003884	SF3A2	ENSEEEG00000016587	ENSEEEP00000034877	SF3A2
ENSDARG00000044091	ENSDARP00000003956	PITPNA	ENSEEEG00000017323	ENSEEEP00000036444	pitpnab
ENSDARG00000008224	ENSDARP00000003960	VPS35	ENSEEEG00000013488	ENSEEEP00000028039	VPS35
ENSDARG00000018904	ENSDARP00000003969	CSTF3	ENSEEEG00000001218	ENSEEEP00000002604	CSTF3
ENSDARG00000020898	ENSDARP00000003991	cyb5r4	ENSEEEG00000009205	ENSEEEP00000018713	CYB5R4
ENSDARG00000014311	ENSDARP00000004006	PGGHG	ENSEEEG00000009955	ENSEEEP00000020421	PGGHG
ENSDARG00000011404	ENSDARP00000004016	FEN1	ENSEEEG00000015649	ENSEEEP00000032875	FEN1
ENSDARG00000009961	ENSDARP00000004018	RUNDC3B	ENSEEEG00000004142	ENSEEEP00000007930	RUNDC3B
ENSDARG00000110357	ENSDARP00000004133	TXNDC15	ENSEEEG00000005982	ENSEEEP00000011882	TXNDC15
ENSDARG00000004580	ENSDARP00000004144	NMNAT2	ENSEEEG00000004665	ENSEEEP00000009053	NMNAT2
ENSDARG00000012450	ENSDARP00000004153	VMP1	ENSEEEG00000003353	ENSEEEP00000006312	VMP1
ENSDARG00000019487	ENSDARP00000004160	TMX1	ENSEEEG00000016451	ENSEEEP00000034592	TMX1
ENSDARG00000003444	ENSDARP00000004163	DHRS7	ENSEEEG00000004824	ENSEEEP00000009440	dhrs7
ENSDARG00000017422	ENSDARP00000004202	APMAP	ENSEEEG00000028636	ENSEEEP00000063449	APMAP
ENSDARG00000004261	ENSDARP00000004205	TMED9	ENSEEEG00000027521	ENSEEEP00000056691	TMED9
ENSDARG00000006754	ENSDARP00000004230	MLLT3	ENSEEEG00000016672	ENSEEEP00000035062	MLLT3
ENSDARG00000007867	ENSDARP00000004236	DAZAP2	ENSEEEG00000025891	ENSEEEP00000057026	DAZAP2
ENSDARG00000018871	ENSDARP00000004251	henmt1	ENSEEEG00000002337	ENSEEEP00000004546	HENMT1
ENSDARG00000013057	ENSDARP00000004270	HOXB5	ENSEEEG00000003969	ENSEEEP00000007599	hoxb5a
ENSDARG00000015997	ENSDARP00000004281	MFSD5	ENSEEEG00000019591	ENSEEEP00000041428	MFSD5
ENSDARG00000016594	ENSDARP00000004325	haus4	ENSEEEG00000007976	ENSEEEP00000016119	haus4
ENSDARG00000003287	ENSDARP00000004327	WDR12	ENSEEEG00000010992	ENSEEEP00000022641	WDR12
ENSDARG00000002487	ENSDARP00000004350	NOC3L	ENSEEEG00000018261	ENSEEEP00000038578	NOC3L
ENSDARG00000017126	ENSDARP00000004404	ILVBL	ENSEEEG00000020147	ENSEEEP00000043650	ILVBL
ENSDARG00000017602	ENSDARP00000004469	CCNG2	ENSEEEG00000028458	ENSEEEP00000060558	CCNG2
ENSDARG00000018809	ENSDARP00000004474	ABHD3	ENSEEEG00000010176	ENSEEEP00000020867	
ENSDARG00000003068	ENSDARP00000004503	gorasp1a	ENSEEEG00000026021	ENSEEEP00000061478	gorasp1a
ENSDARG00000011723	ENSDARP00000004506	C2H5orf22	ENSEEEG00000000342	ENSEEEP00000000478	C5orf22
ENSDARG00000009488	ENSDARP00000004582	gipc2	ENSEEEG00000011540	ENSEEEP00000023792	GIPC2
ENSDARG00000006174	ENSDARP00000004624	LRRC23	ENSEEEG00000006839	ENSEEEP00000013721	LRRC23
ENSDARG00000013044	ENSDARP00000004700	NDUFV2	ENSEEEG00000022716	ENSEEEP00000048245	NDUFV2
ENSDARG00000013333	ENSDARP00000004708	NDUFA10	ENSEEEG00000022660	ENSEEEP00000048125	NDUFA10
ENSDARG00000021232	ENSDARP00000004716	nkx2.7	ENSEEEG00000001221	ENSEEEP00000001955	nkx2.7
ENSDARG00000016173	ENSDARP00000004738	CCT3	ENSEEEG00000016899	ENSEEEP00000058607	CCT3
ENSDARG00000028198	ENSDARP00000004795	UBE2V2	ENSEEEG00000010905	ENSEEEP00000022479	UBE2V2
ENSDARG00000054929	ENSDARP00000004823	zgc:110540	ENSEEEG00000018914	ENSEEEP00000039899	zgc:110540
ENSDARG00000003207	ENSDARP00000004826	mterf3	ENSEEEG00000008933	ENSEEEP00000018162	MTERF3
ENSDARG00000012726	ENSDARP00000004827	CALHM5	ENSEEEG00000009888	ENSEEEP00000020249	calhm5.2
ENSDARG00000017431	ENSDARP00000004845	MINDY2	ENSEEEG00000018217	ENSEEEP00000038349	MINDY2
ENSDARG00000002445	ENSDARP00000004889	PRDM1	ENSEEEG00000025307	ENSEEEP00000054905	prdm1a
ENSDARG00000008032	ENSDARP00000004923	SART3	ENSEEEG00000023238	ENSEEEP00000049448	SART3
ENSDARG00000008502	ENSDARP00000004926	PNO1	ENSEEEG00000008995	ENSEEEP00000018311	PNO1
ENSDARG00000014196	ENSDARP00000004932	MYL1	ENSEEEG00000018243	ENSEEEP00000038407	MYL1
ENSDARG00000020483	ENSDARP00000004968	lta	ENSEEEG00000019632	ENSEEEP00000041506	RAB21
ENSDARG00000004598	ENSDARP00000005012	or30bw1	ENSEEEG00000003263	ENSEEEP00000006112	Olfr68
ENSDARG00000004632	ENSDARP00000005048	EGLN1	ENSEEEG00000024055	ENSEEEP00000051253	egln1b
ENSDARG00000019774	ENSDARP00000005108	ZHX3	ENSEEEG00000025902	ENSEEEP00000055592	ZHX3
ENSDARG00000004692	ENSDARP00000005126	NABP1	ENSEEEG00000001649	ENSEEEP00000002886	nabp1a
ENSDARG00000007009	ENSDARP00000005174	HOXA11	ENSEEEG00000014719	ENSEEEP00000030760	hoxa11b
ENSDARG00000052157	ENSDARP00000005204	il12rb2	ENSEEEG00000007104	ENSEEEP00000014283	IL12RB2
ENSDARG00000018985	ENSDARP00000005214	CASTOR2	ENSEEEG00000024893	ENSEEEP00000059001	CASTOR2
ENSDARG00000020544	ENSDARP00000005231	rem1	ENSEEEG00000008008	ENSEEEP00000016166	REM1
ENSDARG00000009681	ENSDARP00000005238	MED27	ENSEEEG00000021021	ENSEEEP00000044497	MED27
ENSDARG00000006392	ENSDARP00000005262	EXOSC9	ENSEEEG00000007954	ENSEEEP00000016060	EXOSC9
ENSDARG00000014474	ENSDARP00000005280	YIPF1	ENSEEEG00000008210	ENSEEEP00000016569	YIPF1
ENSDARG00000003113	ENSDARP00000005284	ADA	ENSEEEG00000023790	ENSEEEP00000050618	ADA
ENSDARG00000012563	ENSDARP00000005394	PDSS2	ENSEEEG00000023139	ENSEEEP00000049237	PDSS2
ENSDARG00000015824	ENSDARP00000005474	LEMD3	ENSEEEG00000017804	ENSEEEP00000037470	LEMD3
ENSDARG00000016613	ENSDARP00000005503	MCAT	ENSEEEG00000000240	ENSEEEP00000000326	MCAT
ENSDARG00000033056	ENSDARP00000005519	zgc:171927	ENSEEEG00000018321	ENSEEEP00000038596	zgc:171927
ENSDARG00000016391	ENSDARP00000005521	CALCOCO1	ENSEEEG00000015545	ENSEEEP00000032612	calcoco1b
ENSDARG00000011272	ENSDARP00000005533	UQCC2	ENSEEEG00000009809	ENSEEEP00000020058	UQCC2
ENSDARG00000012234	ENSDARP00000005578	PSME3	ENSEEEG00000011614	ENSEEEP00000023931	PSME3
ENSDARG00000015325	ENSDARP00000005582	U2AF1	ENSEEEG00000009049	ENSEEEP00000018437	u2af1
ENSDARG00000017078	ENSDARP00000005591	mespaa	ENSEEEG00000016407	ENSEEEP00000034463	mespaa
ENSDARG00000011837	ENSDARP00000005597	C13H9orf72	ENSEEEG00000021607	ENSEEEP00000045847	C9orf72
ENSDARG00000002564	ENSDARP00000005611	SYNGR1	ENSEEEG00000004615	ENSEEEP00000008939	SYNGR1
ENSDARG00000014313	ENSDARP00000005644	ATP5PF	ENSEEEG00000020376	ENSEEEP00000043152	ATP5PF
ENSDARG00000017155	ENSDARP00000005680	WNT10A	ENSEEEG00000005863	ENSEEEP00000011949	WNT10A
ENSDARG00000004059	ENSDARP00000005687	GALK2	ENSEEEG00000016218	ENSEEEP00000034109	GALK2
ENSDARG00000020467	ENSDARP00000005702	safb	ENSEEEG00000015699	ENSEEEP00000032971	SAFB
ENSDARG00000020529	ENSDARP00000005715	HACL1	ENSEEEG00000014667	ENSEEEP00000056747	HACL1
ENSDARG00000020122	ENSDARP00000005740	endou2	ENSEEEG00000009993	ENSEEEP00000062353	
ENSDARG00000009657	ENSDARP00000005747	FGFR1OP2	ENSEEEG00000021667	ENSEEEP00000045985	FGFR1OP2
ENSDARG00000010432	ENSDARP00000005794	EAF2	ENSEEEG00000018002	ENSEEEP00000037864	EAF2
ENSDARG00000006413	ENSDARP00000005837	RPL38	ENSEEEG00000012077	ENSEEEP00000024900	RPL38
ENSDARG00000011879	ENSDARP00000005855	foxn1	ENSEEEG00000009380	ENSEEEP00000019125	FOXN1
ENSDARG00000016730	ENSDARP00000005892	RFXANK	ENSEEEG00000022452	ENSEEEP00000047696	RFXANK
ENSDARG00000006560	ENSDARP00000005897	IRF4	ENSEEEG00000024171	ENSEEEP00000051484	irf4a
ENSDARG00000007449	ENSDARP00000005911	slc25a39	ENSEEEG00000006200	ENSEEEP00000012472	SLC25A39
ENSDARG00000021370	ENSDARP00000005947	ACTR6	ENSEEEG00000021556	ENSEEEP00000045872	ACTR6
ENSDARG00000002970	ENSDARP00000005954	SS18	ENSEEEG00000005689	ENSEEEP00000011229	SS18
ENSDARG00000021343	ENSDARP00000005989	WSB1	ENSEEEG00000011983	ENSEEEP00000024750	WSB1
ENSDARG00000017917	ENSDARP00000006074	her7	ENSEEEG00000013325	ENSEEEP00000027665	her7
ENSDARG00000012467	ENSDARP00000006108	spint1b	ENSEEEG00000007467	ENSEEEP00000014997	spint1b
ENSDARG00000006397	ENSDARP00000006123	LAPTM4A	ENSEEEG00000014382	ENSEEEP00000030000	LAPTM4A
ENSDARG00000011462	ENSDARP00000006133	OTUB1	ENSEEEG00000026013	ENSEEEP00000056491	otub1b
ENSDARG00000004436	ENSDARP00000006153	CIBAR1	ENSEEEG00000008871	ENSEEEP00000018000	fam92a1
ENSDARG00000005128	ENSDARP00000006173	RNASEH2B	ENSEEEG00000018157	ENSEEEP00000038198	RNASEH2B
ENSDARG00000005423	ENSDARP00000006201	pgam1a	ENSEEEG00000006381	ENSEEEP00000012717	pgam1b
ENSDARG00000016470	ENSDARP00000006207	anxa5b	ENSEEEG00000007984	ENSEEEP00000016985	anxa5b
ENSDARG00000013842	ENSDARP00000006223	TBC1D19	ENSEEEG00000019589	ENSEEEP00000041429	TBC1D19
ENSDARG00000010673	ENSDARP00000006227	trim16	ENSEEEG00000022829	ENSEEEP00000048512	
ENSDARG00000015657	ENSDARP00000006228	ppp1r3c2b	ENSEEEG00000012598	ENSEEEP00000026004	zgc:77112
ENSDARG00000017340	ENSDARP00000006318	UTS2	ENSEEEG00000014434	ENSEEEP00000030110	
ENSDARG00000019398	ENSDARP00000006320	PSMA6	ENSEEEG00000010167	ENSEEEP00000020921	psma6b
ENSDARG00000017254	ENSDARP00000006324	KCNK1	ENSEEEG00000024098	ENSEEEP00000051353	kcnk1b
ENSDARG00000012892	ENSDARP00000006365	AMMECR1	ENSEEEG00000020596	ENSEEEP00000043584	AMMECR1
ENSDARG00000008014	ENSDARP00000006375	nudt17	ENSEEEG00000028568	ENSEEEP00000053533	NUDT17
ENSDARG00000016463	ENSDARP00000006381	TRAPPC6B	ENSEEEG00000004968	ENSEEEP00000009781	trappc6b
ENSDARG00000012671	ENSDARP00000006400	INHBA	ENSEEEG00000005273	ENSEEEP00000010420	inhbaa
ENSDARG00000012788	ENSDARP00000006410	foxa3	ENSEEEG00000012897	ENSEEEP00000026713	FOXA3
ENSDARG00000012972	ENSDARP00000006420	cfl1l	ENSEEEG00000021678	ENSEEEP00000046012	cfl1l
ENSDARG00000010965	ENSDARP00000006445	PSMA8	ENSEEEG00000009391	ENSEEEP00000019158	PSMA8
ENSDARG00000011023	ENSDARP00000006482	PDLIM3	ENSEEEG00000002265	ENSEEEP00000004288	pdlim3a
ENSDARG00000020363	ENSDARP00000006492	SNRNP25	ENSEEEG00000001253	ENSEEEP00000002015	SNRNP25
ENSDARG00000005561	ENSDARP00000006504	GFM2	ENSEEEG00000006995	ENSEEEP00000014074	GFM2
ENSDARG00000020354	ENSDARP00000006532	lmx1a	ENSEEEG00000025753	ENSEEEP00000056107	lmx1a
ENSDARG00000016656	ENSDARP00000006549	MGME1	ENSEEEG00000021622	ENSEEEP00000045870	MGME1
ENSDARG00000006316	ENSDARP00000006624	RPL23A	ENSEEEG00000005541	ENSEEEP00000056226	rpl23a
ENSDARG00000017740	ENSDARP00000006629	SEC63	ENSEEEG00000011637	ENSEEEP00000023956	SEC63
ENSDARG00000011360	ENSDARP00000006646	nfatc2ip	ENSEEEG00000002869	ENSEEEP00000005468	nfatc2ip
ENSDARG00000006395	ENSDARP00000006694	RBM25	ENSEEEG00000012786	ENSEEEP00000026431	rbm25b
ENSDARG00000020494	ENSDARP00000006732	ZNF330	ENSEEEG00000012345	ENSEEEP00000025446	ZNF330
ENSDARG00000014106	ENSDARP00000006783	CFL2	ENSEEEG00000004375	ENSEEEP00000008385	CFL2
ENSDARG00000009470	ENSDARP00000006784	HNF1A	ENSEEEG00000023849	ENSEEEP00000058913	HNF1A
ENSDARG00000020298	ENSDARP00000006800	BTG2	ENSEEEG00000029053	ENSEEEP00000054956	BTG2
ENSDARG00000007663	ENSDARP00000006811	AMPH	ENSEEEG00000022993	ENSEEEP00000048896	AMPH
ENSDARG00000009753	ENSDARP00000006812	SF3B6	ENSEEEG00000006573	ENSEEEP00000013060	SF3B6
ENSDARG00000020676	ENSDARP00000006875	DPP3	ENSEEEG00000002020	ENSEEEP00000062762	DPP3
ENSDARG00000010948	ENSDARP00000006884	kif11	ENSEEEG00000010564	ENSEEEP00000021725	KIF11
ENSDARG00000015123	ENSDARP00000006940	dnase1l4.1	ENSEEEG00000023632	ENSEEEP00000050258	dnase1l4.1
ENSDARG00000018049	ENSDARP00000007002	SF3B2	ENSEEEG00000013571	ENSEEEP00000028414	SF3B2
ENSDARG00000012790	ENSDARP00000007148	TMEM161A	ENSEEEG00000022458	ENSEEEP00000047716	TMEM161A
ENSDARG00000025174	ENSDARP00000007173	zgc:103482	ENSEEEG00000006864	ENSEEEP00000013798	zgc:103482
ENSDARG00000004581	ENSDARP00000007196	SEL1L	ENSEEEG00000011102	ENSEEEP00000024371	SEL1L
ENSDARG00000004051	ENSDARP00000007208		ENSEEEG00000001838	ENSEEEP00000003267	CYP7B1
ENSDARG00000016307	ENSDARP00000007227	MRPL46	ENSEEEG00000016397	ENSEEEP00000034448	MRPL46
ENSDARG00000018623	ENSDARP00000007237	RAD54L	ENSEEEG00000006263	ENSEEEP00000012481	RAD54L
ENSDARG00000016687	ENSDARP00000007240	ACADVL	ENSEEEG00000001057	ENSEEEP00000002570	ACADVL
ENSDARG00000013014	ENSDARP00000007305	or6at1	ENSEEEG00000019380	ENSEEEP00000040907	or101-1
ENSDARG00000040352	ENSDARP00000007394	CROT	ENSEEEG00000003461	ENSEEEP00000006559	CROT
ENSDARG00000013576	ENSDARP00000007424	GADD45B	ENSEEEG00000006622	ENSEEEP00000013211	gadd45bb
ENSDARG00000011298	ENSDARP00000007430	ATF7	ENSEEEG00000008940	ENSEEEP00000018186	atf7a
ENSDARG00000020841	ENSDARP00000007431	rbm7	ENSEEEG00000028815	ENSEEEP00000056249	rbm7
ENSDARG00000009113	ENSDARP00000007438	PIGC	ENSEEEG00000011904	ENSEEEP00000024545	PIGC
ENSDARG00000032970	ENSDARP00000007446	COX4I1	ENSEEEG00000017154	ENSEEEP00000036068	COX4I1
ENSDARG00000009743	ENSDARP00000007503	EFHC1	ENSEEEG00000021188	ENSEEEP00000044894	EFHC1
ENSDARG00000020744	ENSDARP00000007507	bdkrb1	ENSEEEG00000009516	ENSEEEP00000019430	BDKRB1
